date,year,portfolio_return,portfolio_return_gross,benchmark_return,alpha,transaction_cost,turnover,cash_drag_pct,sl_triggered_rate,ic_spearman,q1_ret,q2_ret,q3_ret,q4_ret,q5_ret,q_monotonic,top_decile_return,bottom_decile_return,long_short_return,portfolio_return_tuned,turnover_tuned,transaction_cost_tuned,top_sector,top_sector_weight,sector_hhi,top_picks,train_period,test_year
20180102,2018,-0.03246233508778773,-0.029064059295321458,-0.030500000788090023,-0.0019623342996977072,0.0034999999999999996,1.0,0.056305599999999956,0.0,-0.041928146550535804,-0.012990785061391086,-0.03165974064545507,0.015908903119772187,-0.05613526757110254,-0.01990535840632407,0,-0.00223210271886164,-0.028493432545132168,0.026261329826270528,-0.020735346222292228,1.0,0.0034999999999999996,의약품제조업,0.14,0.06559999999999999,078340(컴투스):+21.8% | 042670(HD현대인프라코어):-3.7% | 034220(LG디스플레이):-10.3% | 214370(케어젠):-0.2% | 249420(일동제약):+2.2% | 056190(에스에프에이):-5.3% | 001060(JW중외제약):-9.5% | 091700(파트론):-4.6% | 241560(두산밥캣):-12.8% | 048260(오스템임플란트):-8.8%,2015-2017,2018
20180306,2018,0.049633520112091434,0.05323558581558065,0.019235543690385774,0.03039797642170566,0.0034200000000000003,0.38,0.05262875,0.0,0.06413128678669826,-0.007044835959334216,-0.0001985760639263673,0.0347751484148286,0.08338676318764798,0.00743637844054521,0,0.015519923912050405,0.03771959120694852,-0.022199667294898112,0.03141318231415746,0.16000000000000003,0.0014400000000000005,기초의약물질및생물학적제제제조업,0.08,0.04959999999999999,098460(고영):+0.9% | 009830(한화솔루션):-11.2% | 003550(LG):-10.9% | 041960(코미팜):-13.9% | 051900(LG생활건강):+19.7% | 078340(컴투스):-0.6% | 006280(녹십자):+4.1% | 122990(와이솔):-9.6% | 003000(부광약품):+13.3% | 009150(삼성전기):+26.6%,2015-2017,2018
20180504,2018,-0.04213729631231611,-0.03832907946700552,-0.08437359085125518,0.04223629453893907,0.00396,0.43999999999999995,0.0404139,0.0,0.07314366386369295,-0.08856012440931404,-0.02457040579269155,-0.05114023456438792,-0.07692706117297572,-0.01607931494317454,0,0.006430467730201332,-0.0702468737489386,0.07667734147913993,-0.04300939761413136,0.28,0.0025200000000000005,기타금융업,0.1,0.05840000000000001,009830(한화솔루션):-22.9% | 039030(이오테크닉스):+1.0% | 004370(농심):-5.9% | 031980(피에스케이홀딩스):+9.4% | 003550(LG):-16.0% | 140410(메지온):+14.7% | 051900(LG생활건강):-0.5% | 009150(삼성전기):+33.2% | 048260(오스템임플란트):+3.1% | 006280(녹십자):-50.5%,2015-2017,2018
20180709,2018,0.010303810416414594,0.014870728695544544,-0.02064560115174631,0.030949411568160903,0.0045000000000000005,0.5,0.03973329999999997,0.0,0.09583217848547913,-0.03796535004787637,0.003469803837139321,-0.002268735470849287,-0.004717772930020763,0.03307810594441041,0,0.03313107152789246,-0.0642806247404745,0.09741169626836696,-0.0027451769137257775,0.36,0.0032400000000000003,의약품제조업,0.1,0.0528,000100(유한양행):+9.1% | 098460(고영):-0.7% | 023530(롯데쇼핑):-16.1% | 086900(메디톡스):-18.2% | 181710(NHN):-12.1% | 000660(SK하이닉스):-13.0% | 122990(와이솔):+34.8% | 093370(후성):+1.4% | 001680(대상):+1.7% | 003670(포스코퓨처엠):+41.9%,2015-2017,2018
20180906,2018,-0.11815632361221295,-0.11433023020670594,-0.08641319448235,-0.03174312912986295,0.00432,0.48,0.039458299999999946,0.0,0.03466726746604039,-0.129776062840864,-0.13802368438142568,-0.12892320995504822,-0.13472009157193843,-0.13341565552125434,0,-0.13058582971510366,-0.16393447322150145,0.033348643506397796,-0.11770801563089073,0.26,0.0023400000000000005,기초화학물질제조업,0.12,0.0552,001060(JW중외제약):-22.6% | 272290(이녹스첨단소재):-27.4% | 181710(NHN):-11.1% | 056190(에스에프에이):+7.3% | 012330(현대모비스):-21.3% | 003550(LG):-4.7% | 145020(휴젤):-32.4% | 001040(CJ):-9.7% | 086900(메디톡스):-22.2% | 003060(에이프로젠바이오로직):-33.6%,2015-2017,2018
20181112,2018,0.020239671417619842,0.023371187250606554,0.02987779304479301,-0.009638121627173167,0.0030600000000000002,0.33999999999999997,0.03783599999999998,0.0,-0.06373737754511018,0.046667445823803375,0.10267492171465609,0.15174067844785546,0.020716534367497194,0.02049956976899795,0,0.07637105599897609,0.04679043294413978,0.02958062305483631,0.02683449595252685,0.14,0.0012600000000000003,기초화학물질제조업,0.1,0.054400000000000004,181710(NHN):+13.1% | 051370(인터플렉스):+4.2% | 003550(LG):+7.5% | 056190(에스에프에이):-8.8% | 012330(현대모비스):+8.3% | 051910(LG화학):+6.1% | 243070(휴온스):+11.2% | 011790(SKC):+9.1% | 002380(KCC):+8.7% | 000250(삼천당제약):+4.3%,2015-2017,2018
20190102,2019,0.07920562674468812,0.08408400476613571,0.09034113591976206,-0.011135509175073943,0.0045000000000000005,0.5,0.04023785000000002,0.0,0.0779156429300913,0.06328886674010231,0.1208091571139507,0.06210151411552855,0.047788063202420974,0.11509244679119218,0,0.0954115481481704,0.05777859428028385,0.03763295386788656,0.07653290958654413,0.21999999999999997,0.00198,기초화학물질제조업,0.08,0.044799999999999986,086900(메디톡스):-0.4% | 081000(일진다이아):+28.1% | 069620(대웅제약):+2.5% | 078160(메디포스트):+20.5% | 051910(LG화학):+11.1% | 011780(금호석유화학):+10.8% | 243070(휴온스):+11.0% | 009830(한화솔루션):+18.7% | 282330(BGF리테일):-2.6% | 084990(헬릭스미스):+12.9%,2016-2018,2019
20190307,2019,-0.03414235365514007,-0.02977634721761944,-0.0221007851763678,-0.012041568478772267,0.0045000000000000005,0.5,0.03134250000000005,0.0,0.06865788985339652,-0.056843309194924155,-0.009661837641605378,0.007974578012883546,0.014791849282064288,-0.03847880861197782,0,-0.03329279592997908,-0.027903862874247093,-0.005388933055731987,-0.029646992396550664,0.38,0.0034200000000000003,의약품제조업,0.12,0.0696,095190(신화프리텍):+0.0% | 093370(후성):-1.4% | 051910(LG화학):-5.9% | 036490(SK머티리얼즈):+2.1% | 014680(한솔케미칼):-5.2% | 006360(GS건설):-7.1% | 122870(와이지엔터테인먼트):-22.1% | 003410(쌍용양회):-3.7% | 006490(인스코비):-33.8% | 041830(인바디):-2.0%,2016-2018,2019
20190508,2019,-0.0740529792853547,-0.07020362228160047,-0.0248309287381888,-0.0492220505471659,0.0041400000000000005,0.45999999999999996,0.014748349999999966,0.0,0.04733091764177083,0.0034652338111855994,-0.09974122833528998,-0.09662197698631339,-0.07205578692867906,-0.04980272459676326,0,-0.02709259517768784,-0.02666554055317318,-0.00042705462451466183,-0.05194217566192694,0.45999999999999996,0.0041400000000000005,기초화학물질제조업,0.14,0.06480000000000001,048410(현대바이오):+10.1% | 272450(진에어):-25.2% | 006490(인스코비):-16.1% | 053580(웹케시):-21.3% | 010140(삼성중공업):-5.6% | 009410(태영건설):+17.4% | 051370(인터플렉스):+12.2% | 170900(동아에스티):+0.4% | 268600(셀리버리):-25.1% | 006280(녹십자):-13.6%,2016-2018,2019
20190708,2019,-0.05031641042911372,-0.04550575945677585,-0.0056931503779741165,-0.044623260051139604,0.005040000000000001,0.56,0.024197899999999994,0.0,-0.07526344305053496,0.008258433471117635,-0.039766087018704696,0.008329353412844118,-0.04571131022771287,-0.05387170448324778,0,-0.09443479312590784,-0.003827234906306699,-0.09060755821960115,-0.016494504475564886,0.45999999999999996,0.0041400000000000005,기초화학물질제조업,0.16,0.07199999999999998,028300(HLB):+46.1% | 018250(애경산업):-11.8% | 008930(한미사이언스):-16.6% | 108320(LX세미콘):-25.4% | 074610(이엔플러스):-38.3% | 215600(신라젠):-71.9% | 000660(SK하이닉스):+17.3% | 042670(HD현대인프라코어):+7.1% | 056190(에스에프에이):+10.2% | 090430(아모레퍼시픽):-14.2%,2016-2018,2019
