date,test_year,sector,weight,sector_forward_return,contribution
20170102,2017,"회사본부,지주회사및경영컨설팅서비스업",0.4,0.06897651591189224,0.0275906063647569
20170102,2017,UNMAPPED_SECTOR,0.2,0.07144136349451302,0.014288272698902605
20170102,2017,반도체제조업,0.2,-0.012447720356561942,-0.0024895440713123885
20170102,2017,특수목적용기계제조업,0.2,-0.0580197131499659,-0.011603942629993182
20170202,2017,특수목적용기계제조업,0.2,0.057911223384827515,0.011582244676965503
20170202,2017,1차철강제조업,0.1,0.024569294961398924,0.0024569294961398927
20170202,2017,UNMAPPED_SECTOR,0.1,-0.0036785283877788233,-0.00036785283877788233
20170202,2017,기초화학물질제조업,0.1,0.02886515194509265,0.002886515194509265
20170202,2017,기타식품제조업,0.1,-0.02331006525570878,-0.002331006525570878
20170202,2017,소프트웨어개발및공급업,0.1,-4.6430549575315894e-05,-4.64305495753159e-06
20170202,2017,통신및방송장비제조업,0.1,0.1612011813981189,0.01612011813981189
20170202,2017,플라스틱제품제조업,0.1,-0.0723634487136301,-0.00723634487136301
20170202,2017,"회사본부,지주회사및경영컨설팅서비스업",0.1,0.38351819178533897,0.0383518191785339
20170306,2017,UNMAPPED_SECTOR,0.1,-0.006407522293128687,-0.0006407522293128687
20170306,2017,"구조용금속제품,탱크및증기발생기제조업",0.1,-0.14115828629956517,-0.014115828629956518
20170306,2017,소프트웨어개발및공급업,0.1,0.1492778474699814,0.014927784746998142
20170306,2017,"시멘트,석회,플라스터및그제품제조업",0.1,0.08580843692394202,0.008580843692394202
20170306,2017,영상및음향기기제조업,0.1,0.795962471397158,0.0795962471397158
20170306,2017,의약품제조업,0.1,0.062305704120682925,0.006230570412068293
20170306,2017,자연과학및공학연구개발업,0.1,0.13790355597976012,0.013790355597976013
20170306,2017,전자부품제조업,0.1,0.02545334768460017,0.002545334768460017
20170306,2017,"측정,시험,항해,제어및기타정밀기기제조업;광학기기제외",0.1,-0.024883032338248068,-0.002488303233824807
20170306,2017,특수목적용기계제조업,0.1,0.17085431036695797,0.017085431036695797
20170404,2017,소프트웨어개발및공급업,0.2,-0.03181345443124567,-0.006362690886249134
20170404,2017,전자부품제조업,0.2,-0.051884576047686315,-0.010376915209537263
20170404,2017,UNMAPPED_SECTOR,0.1,0.0477414445225981,0.0047741444522598105
20170404,2017,기초화학물질제조업,0.1,-0.0020425902266754115,-0.00020425902266754117
20170404,2017,기타화학제품제조업,0.1,0.030642560096615146,0.0030642560096615147
20170404,2017,반도체제조업,0.1,0.05863791357560877,0.005863791357560877
20170404,2017,의약품제조업,0.1,-0.036862811652748295,-0.00368628116527483
20170404,2017,회사본부및경영컨설팅서비스업,0.1,-0.010435900801548659,-0.0010435900801548659
20170508,2017,의약품제조업,0.3,-0.10250797431938585,-0.030752392295815754
20170508,2017,기초의약물질제조업,0.1,0.03791521263266717,0.0037915212632667174
20170508,2017,소프트웨어개발및공급업,0.1,0.09073780791812003,0.009073780791812003
20170508,2017,영상및음향기기제조업,0.1,0.07419895224615702,0.007419895224615703
20170508,2017,전자부품제조업,0.1,0.018412708247983023,0.0018412708247983025
20170508,2017,통신및방송장비제조업,0.1,-0.06752842677886972,-0.0067528426778869725
20170508,2017,특수목적용기계제조업,0.1,-0.06420699639369654,-0.006420699639369654
20170508,2017,회사본부및경영컨설팅서비스업,0.1,0.216524064688989,0.0216524064688989
20170608,2017,전자부품제조업,0.3,-0.11877704261275727,-0.03563311278382718
20170608,2017,1차철강제조업,0.1,-0.02781893453284978,-0.0027818934532849783
20170608,2017,도시락및식사용조리식품제조업,0.1,-0.08545759087611615,-0.008545759087611616
20170608,2017,반도체제조업,0.1,-0.012005896838401253,-0.0012005896838401253
20170608,2017,봉제의복제조업,0.1,-0.024550529533079568,-0.002455052953307957
20170608,2017,통신및방송장비제조업,0.1,-0.10224154652814188,-0.010224154652814189
20170608,2017,특수목적용기계제조업,0.1,0.08113107747269455,0.008113107747269454
20170608,2017,회사본부및경영컨설팅서비스업,0.1,-0.08544242720546691,-0.00854424272054669
20170707,2017,전자부품제조업,0.2,-0.06013200106187011,-0.012026400212374022
20170707,2017,1차철강제조업,0.1,0.03253938712262383,0.0032539387122623832
20170707,2017,"구조용금속제품,탱크및증기발생기제조업",0.1,0.08771262276441938,0.008771262276441939
20170707,2017,기초화학물질제조업,0.1,0.18674063021221454,0.018674063021221456
20170707,2017,봉제의복제조업,0.1,-0.01105187501689886,-0.0011051875016898861
20170707,2017,상품종합도매업,0.1,-0.019345362330939975,-0.0019345362330939976
20170707,2017,"시멘트,석회,플라스터및그제품제조업",0.1,-0.008781747534177264,-0.0008781747534177264
20170707,2017,자연과학및공학연구개발업,0.1,1.2665421676635211,0.1266542167663521
20170707,2017,"전동기,발전기및전기변환ㆍ공급ㆍ제어장치제조업",0.1,-0.06917286695598424,-0.006917286695598424
20170807,2017,전자부품제조업,0.4,-0.03712049650754595,-0.014848198603018382
20170807,2017,소프트웨어개발및공급업,0.2,-0.014287168566350372,-0.0028574337132700744
20170807,2017,통신및방송장비제조업,0.2,0.07065254847781754,0.014130509695563509
20170807,2017,특수목적용기계제조업,0.2,-0.1570705238229111,-0.03141410476458222
20170906,2017,소프트웨어개발및공급업,0.2,-0.10399097163450266,-0.020798194326900533
20170906,2017,의약품제조업,0.2,0.050459556446511566,0.010091911289302313
20170906,2017,전자부품제조업,0.2,-0.1315784941139232,-0.02631569882278464
20170906,2017,통신및방송장비제조업,0.2,0.0722806260992288,0.014456125219845762
20170906,2017,특수목적용기계제조업,0.2,-0.0039018959420886734,-0.0007803791884177347
20171013,2017,의약품제조업,0.2,0.24159134382322345,0.04831826876464469
20171013,2017,UNMAPPED_SECTOR,0.1,0.008233124920305368,0.0008233124920305368
20171013,2017,기타금융업,0.1,0.08014856246628388,0.008014856246628389
20171013,2017,봉제의복제조업,0.1,0.13943738863715116,0.013943738863715117
20171013,2017,의료용품및기타의약관련제품제조업,0.1,0.6668380193355559,0.0666838019335556
20171013,2017,자동차신품부품제조업,0.1,0.13541015118085808,0.013541015118085808
20171013,2017,전자부품제조업,0.1,-0.21444505557354,-0.021444505557354
20171013,2017,통신및방송장비제조업,0.1,0.4230085097317642,0.04230085097317642
20171013,2017,특수목적용기계제조업,0.1,0.1919319172628744,0.01919319172628744
20171113,2017,UNMAPPED_SECTOR,0.3,0.10469697241939173,0.03140909172581752
20171113,2017,1차철강제조업,0.1,0.009958899447093161,0.0009958899447093162
20171113,2017,건물건설업,0.1,-0.13080872613251981,-0.013080872613251983
20171113,2017,반도체제조업,0.1,-0.002276194190702463,-0.0002276194190702463
20171113,2017,소프트웨어개발및공급업,0.1,0.22640710348242998,0.022640710348243
20171113,2017,의약품제조업,0.1,-0.1496702845956317,-0.01496702845956317
20171113,2017,자동차신품부품제조업,0.1,0.057697330598830865,0.005769733059883087
20171113,2017,특수목적용기계제조업,0.1,-0.031612138824893554,-0.0031612138824893554
20171212,2017,봉제의복제조업,0.2,-0.015635586429444626,-0.0031271172858889254
20171212,2017,소프트웨어개발및공급업,0.2,0.0316724468194709,0.006334489363894181
20171212,2017,전자부품제조업,0.2,-0.02816821438828987,-0.005633642877657974
20171212,2017,통신및방송장비제조업,0.2,0.10842098095447938,0.02168419619089588
20171212,2017,특수목적용기계제조업,0.2,0.004032000996007978,0.0008064001992015957
20180102,2018,특수목적용기계제조업,0.2,0.04256498521064661,0.008512997042129322
20180102,2018,UNMAPPED_SECTOR,0.1,0.18777989972450926,0.018777989972450927
20180102,2018,반도체제조업,0.1,0.08162307720448458,0.008162307720448458
20180102,2018,봉제의복제조업,0.1,-0.05529238006070003,-0.0055292380060700036
20180102,2018,소프트웨어개발및공급업,0.1,0.05547461131636333,0.005547461131636334
20180102,2018,의료용기기제조업,0.1,0.007480710820279013,0.0007480710820279013
20180102,2018,의료용품및기타의약관련제품제조업,0.1,0.4121977090571094,0.04121977090571094
20180102,2018,자동차신품부품제조업,0.1,0.012285524765588418,0.0012285524765588418
20180102,2018,플라스틱제품제조업,0.1,0.008320211954520262,0.0008320211954520263
20180131,2018,반도체제조업,0.2,-0.12143814618173904,-0.024287629236347807
20180131,2018,특수목적용기계제조업,0.2,-0.03165677935187117,-0.006331355870374234
20180131,2018,기초의약물질및생물학적제제제조업,0.1,-0.05014468475347178,-0.0050144684753471785
20180131,2018,기타금융업,0.1,-0.009097993791720382,-0.0009097993791720383
20180131,2018,기타화학제품제조업,0.1,-0.10815830170501062,-0.010815830170501063
20180131,2018,소프트웨어개발및공급업,0.1,-0.1604010809149311,-0.016040108091493113
20180131,2018,의약품제조업,0.1,0.08108518901962025,0.008108518901962026
20180131,2018,전자부품제조업,0.1,0.0416630832022975,0.00416630832022975
20180306,2018,의약품제조업,0.4,0.059425592267278116,0.023770236906911248
20180306,2018,기타화학제품제조업,0.2,-0.03116751148217145,-0.0062335022964342904
20180306,2018,소프트웨어개발및공급업,0.2,0.29719065289885815,0.05943813057977163
20180306,2018,특수목적용기계제조업,0.2,-0.07104862545602486,-0.014209725091204974
20180404,2018,소프트웨어개발및공급업,0.4,0.025252461843794594,0.010100984737517839
20180404,2018,도시락및식사용조리식품제조업,0.2,0.11247609230128286,0.022495218460256573
20180404,2018,"영화,비디오물,방송프로그램제작및배급업",0.2,-0.1433164056087618,-0.02866328112175236
20180404,2018,의약품제조업,0.2,-0.008953226354515342,-0.0017906452709030686
20180504,2018,1차철강제조업,0.2,0.4269318945386342,0.08538637890772685
20180504,2018,기초화학물질제조업,0.2,0.35968918895552116,0.07193783779110423
20180504,2018,소프트웨어개발및공급업,0.2,-0.06886113076207168,-0.013772226152414337
20180504,2018,"시멘트,석회,플라스터및그제품제조업",0.2,0.03283664040087331,0.006567328080174662
20180504,2018,"측정,시험,항해,제어및기타정밀기기제조업;광학기기제외",0.2,-0.021268263150214572,-0.004253652630042915
20180607,2018,UNMAPPED_SECTOR,0.2,-0.05288388519399778,-0.010576777038799556
20180607,2018,소프트웨어개발및공급업,0.2,0.037856231261355844,0.0075712462522711695
20180607,2018,1차철강제조업,0.1,0.43677420134843037,0.04367742013484304
20180607,2018,기타금융업,0.1,-0.09640312546554597,-0.009640312546554598
20180607,2018,반도체제조업,0.1,-0.06824022458611567,-0.006824022458611568
20180607,2018,봉제의복제조업,0.1,-0.1479474395716296,-0.014794743957162959
20180607,2018,의약품제조업,0.1,-0.01099926991429745,-0.001099926991429745
