date,year,portfolio_return,portfolio_return_gross,benchmark_return,alpha,transaction_cost,turnover,cash_drag_pct,sl_triggered_rate,ic_spearman,q1_ret,q2_ret,q3_ret,q4_ret,q5_ret,q_monotonic,top_decile_return,bottom_decile_return,long_short_return,portfolio_return_tuned,turnover_tuned,transaction_cost_tuned,top_sector,top_sector_weight,sector_hhi,top_picks,train_period,test_year
20170102,2017,0.013385816480864898,0.013892762862296066,0.03122599477646326,-0.017840178295598363,0.0005,1.0,0.5002937000000001,0.0,0.08384904496397833,-0.0761776237472261,-0.00504426164269316,-0.03893594790385359,-0.016904625374880855,-0.016123325677078165,0,0.0032603077665927876,-0.08302802554132253,0.08628833330791533,0.013385816480864898,1.0,0.0005,"회사본부,지주회사및경영컨설팅서비스업",0.4,0.28,000700(유수홀딩스):+11.4% | 002795(아모레퍼시픽홀딩스우):+7.1% | 138690(엘아이에스):-5.8% | 117670(알파칩스):-1.2% | 003090(대웅):+2.4%,2015-2016,2017
20170202,2017,0.05887104748946914,0.06141845177372605,0.007151104324183422,0.05171994316528572,0.0024000000000000002,0.8,0.0006119999999999459,0.0,0.1075847550813239,-0.00023983037564918479,0.005763455050743939,0.008567083632668155,0.010927917590938602,0.022605150735386027,1,0.02742644375769068,0.012915424647843735,0.014511019109846944,0.04134789053310284,0.8,0.0024000000000000002,특수목적용기계제조업,0.2,0.12000000000000002,115960(연우):-7.2% | 092040(아미코젠):-2.3% | 138690(엘아이에스):+13.6% | 900270(헝셩그룹):+38.4% | 100090(SK오션플랜트):+2.5% | 052400(코나아이):-0.0% | 002795(아모레퍼시픽홀딩스우):-0.4% | 001570(금양):+2.9% | 082270(젬백스):-2.0% | 095270(웨이브일렉트로):+16.1%,2015-2016,2017
20170306,2017,0.12276817954301533,0.12546930587712032,0.03886690580969643,0.0839012737333189,0.0024000000000000002,0.8,0.0003258999999999901,0.0,0.05904545252598891,0.02658396447639583,0.04796287312103495,0.06774524600747535,0.05080219355536846,0.04635309813995521,0,0.04950971286624395,0.006147750568558438,0.04336196229768551,0.03501549934106163,0.8,0.0024000000000000002,UNMAPPED_SECTOR,0.1,0.10000000000000003,950140(잉글우드랩):-0.6% | 141080(리가켐바이오):+13.8% | 101490(에스앤에스텍):+2.5% | 084110(휴온스글로벌):+6.2% | 085310(엔케이):-14.1% | 228340(동양파일):+8.6% | 029460(케이씨):-2.5% | 060570(드림어스컴퍼니):+79.6% | 082270(젬백스):+17.1% | 052400(코나아이):+14.9%,2015-2016,2017
20170404,2017,-0.010353335453174406,-0.007972469379685649,0.06742132991599026,-0.07777466536916466,0.0024000000000000002,0.8,0.0009002000000000177,0.0,0.05699220217559111,-0.0011764547267108922,0.03387887889719275,0.01752909689723046,0.03118044061443411,0.028209224050327115,0,0.026352069738215963,-0.035885967206901015,0.06223803694511698,-0.018310869349159264,0.8,0.0024000000000000002,소프트웨어개발및공급업,0.2,0.14,015860(일진홀딩스):-1.0% | 000230(일동홀딩스):-3.7% | 205500(넥써쓰):+7.1% | 042040(케이피엠테크):+3.1% | 052400(코나아이):-13.4% | 02826K(삼성물산우B):+4.8% | 001570(금양):-0.2% | 190510(나무가):-7.6% | 114570(지스마트글로벌):+5.9% | 101490(에스앤에스텍):-2.8%,2015-2016,2017
20170508,2017,-0.0022559253008969105,-0.00015625343310638303,0.021309944640832246,-0.023565869941729156,0.0021,0.7,0.000672299999999959,0.0,0.052737950766078956,0.026508181451591173,0.05836285297695563,0.031109385225930496,0.05238216930731608,0.04412369025520883,0,0.029334926985682814,0.03229256144849745,-0.002957634462814638,0.005760190921654695,0.8,0.0024000000000000002,의약품제조업,0.3,0.16000000000000003,000230(일동홀딩스):-17.4% | 053030(바이넥스):-12.7% | 054670(대한뉴팜):-0.6% | 015860(일진홀딩스):+21.7% | 053590(한국테크놀로지):-6.4% | 032850(비트컴퓨터):+9.1% | 190510(나무가):+1.8% | 064240(홈캐스트):+7.4% | 109960(앱토크롬):-6.8% | 072020(중앙백신):+3.8%,2015-2016,2017
20170608,2017,-0.06322045272797294,-0.0612490757871259,0.01440000000000019,-0.07762045272797313,0.0021,0.7,0.00024120000000005248,0.0,-0.007394277651824554,-0.025773056718205904,-0.031147116651816985,-0.02387163175121515,-0.049436125291145425,-0.030881669733201035,0,-0.040731813391238575,-0.03359353815611324,-0.007138275235125335,-0.06627282652978395,0.7,0.0021,전자부품제조업,0.3,0.16000000000000003,053590(한국테크놀로지):+8.1% | 096640(멜파스):-1.9% | 190510(나무가):-10.4% | 950140(잉글우드랩):-8.5% | 061970(LB세미콘):-1.2% | 011150(CJ씨푸드):-8.5% | 114120(크루셜텍):-23.4% | 002240(고려제강):-2.8% | 109960(앱토크롬):-10.2% | 016090(대현):-2.5%,2015-2016,2017
20170707,2017,0.13210652191422656,0.13448894870651018,0.010622545548187645,0.12148397636603891,0.0021,0.7,0.00028485000000000316,0.0,0.054091644339566314,-0.014835710225435197,-0.006409271988986032,0.0023352596527207174,-0.005010137107188053,0.007158578816018022,0,0.024124092650738383,-0.023824909331587832,0.04794900198232621,0.12023945628883648,0.6,0.0018,전자부품제조업,0.2,0.12000000000000002,006390(한일현대시멘트):-0.9% | 096640(멜파스):-9.5% | 002240(고려제강):+3.3% | 065060(지엔코):-1.1% | 168330(내츄럴엔도텍):+126.7% | 001250(GS글로벌):-1.9% | 114120(크루셜텍):-2.5% | 017040(광명전기):-6.9% | 006910(보성파워텍):+8.8% | 006380(카프로):+18.7%,2015-2016,2017
20170807,2017,-0.020415642221535468,-0.017468046360617308,-0.03433558415084714,0.013919941929311674,0.003,1.0,0.5003941000000001,0.0,0.014374324194067097,-0.01277378510636945,0.016358744613427442,0.02014431259144427,0.016150998444998697,-0.006498657811767178,0,0.0017081408133383287,-0.0002799900869265935,0.0019881309002649224,-0.020385078839458615,0.6,0.0018,전자부품제조업,0.4,0.28,190510(나무가):-1.3% | 067000(조이시티):-1.4% | 096630(에스코넥):+7.1% | 089140(넥스턴앤롤코리아):-15.7% | 193250(링크드):-6.1%,2015-2016,2017
20170906,2017,-0.01345287204699297,-0.01167388504006501,0.07972161752094475,-0.09317448956793772,0.0018,0.6,0.5001868,0.0,0.20717078835320718,-0.07709960041642946,-0.05175349865762857,-0.027715296781382882,-0.02734656025239037,-0.020288646302396244,1,-0.02446795794795593,-0.0844605760599178,0.05999261811196187,-0.006979103881550097,0.4,0.0012000000000000001,소프트웨어개발및공급업,0.2,0.20000000000000004,089140(넥스턴앤롤코리아):-0.4% | 067000(조이시티):-10.4% | 011000(진원생명과학):+5.0% | 114120(크루셜텍):-13.2% | 149940(모다):+7.2%,2015-2016,2017
20171013,2017,0.18808609069829596,0.19130260773919167,0.02132274324117911,0.16676334745711685,0.0027,0.9,0.0004450000000000287,0.0,0.003429739210793806,0.12666305537265649,0.09769642215616985,0.11921031836287416,0.10594741255692439,0.11065861057011486,0,0.1274303165070086,0.09969599132538973,0.027734325181618863,0.17601773007889387,0.8,0.0024000000000000002,의약품제조업,0.2,0.12000000000000002,001200(유진투자증권):+0.8% | 166480(코아스템켐온):+36.8% | 064550(바이오니아):+66.7% | 064090(인크레더블버즈):+42.3% | 161580(필옵틱스):+19.2% | 237690(에스티팜):+11.5% | 111110(호전실업):+13.9% | 035080(그래디언트):+8.0% | 123410(코리아에프티):+13.5% | 114120(크루셜텍):-21.4%,2015-2016,2017
