date,test_year,stock_code,name,sector,closing_price,shares,invested_krw,buy_price,sell_price,sell_date,market_cap,score,score_rank,rank_pos,forward_return_21d_lag1_close
20170102,2017,000700,유수홀딩스,"회사본부,지주회사및경영컨설팅서비스업",5730,1745.0,9998850.0,6047.0,6736.0,20170203,149219582760,0.5617002695027173,2.7440076440492556,1.0,0.11392274281471959
20170102,2017,002795,아모레퍼시픽홀딩스우,UNMAPPED_SECTOR,50000,200.0,10000000.0,49885.0,53449.0,20170203,322188500000,0.5399299302045844,2.0829502288375656,2.0,0.07144136349451302
20170102,2017,138690,엘아이에스,특수목적용기계제조업,9400,1063.0,9992200.0,26878.0,25318.0,20170203,118464712600,0.5485392356765871,2.061384368397,3.0,-0.0580197131499659
20170102,2017,117670,알파칩스,반도체제조업,9620,1039.0,9995180.0,370368.0,365758.0,20170203,116150042580,0.5421646938385387,1.9703131218870402,4.0,-0.012447720356561942
20170102,2017,003090,대웅,"회사본부,지주회사및경영컨설팅서비스업",43600,229.0,9984400.0,8725.0,8934.0,20170203,506998065600,0.5447153348717982,1.9345816478676472,5.0,0.024030289009064898
20170202,2017,115960,연우,플라스틱제품제조업,32050,312.0,9999600.0,31141.0,28887.0,20170307,397355900000,0.5490717934688212,2.0743684523084553,1.0,-0.0723634487136301
20170202,2017,092040,아미코젠,기타식품제조업,41100,243.0,9987300.0,9408.0,9189.0,20170307,374657530500,0.5553432742100195,1.9688543669153362,2.0,-0.02331006525570878
20170202,2017,138690,엘아이에스,특수목적용기계제조업,9320,1072.0,9991040.0,25318.0,28765.0,20170307,126262084880,0.5627074985658589,1.9226145180834946,3.0,0.13611698651736215
20170202,2017,900270,헝셩그룹,"회사본부,지주회사및경영컨설팅서비스업",2615,3824.0,9999760.0,25611.0,35433.0,20170307,209200000000,0.5452189197185767,1.867305232995973,4.0,0.38351819178533897
20170202,2017,100090,SK오션플랜트,1차철강제조업,6730,1485.0,9994050.0,5968.0,6115.0,20170307,113425407730,0.5435929844121029,1.8504184415180351,5.0,0.024569294961398924
20170202,2017,052400,코나아이,소프트웨어개발및공급업,10250,975.0,9993750.0,20088.0,20087.0,20170307,159480959500,0.5634942860584673,1.8394195656282977,6.0,-4.6430549575315894e-05
