date,test_year,stock_code,name,sector,closing_price,shares,invested_krw,buy_price,sell_price,sell_date,market_cap,score,score_rank,rank_pos,forward_return_42d_lag1_close
20180102,2018,036540,SFA반도체,반도체제조업,2345,852.0,1997940.0,2389.0,2574.0,20180307,330824643415,0.5207907170066983,1.0,1.0,0.0777094908290692
20180102,2018,042670,HD현대인프라코어,특수목적용기계제조업,9080,220.0,1997600.0,7722.0,7433.0,20180307,1888617872040,0.514984202484086,1.0,2.0,-0.037376352641876776
20180102,2018,051910,LG화학,기초화학물질제조업,411000,4.0,1644000.0,409975.0,385355.0,20180307,29013452973000,0.5184900733099645,0.9943181818181818,3.0,-0.06005154576976279
20180102,2018,048260,오스템임플란트,의료용기기제조업,59100,33.0,1950300.0,489284.0,446006.0,20180307,844285874700,0.5146935008759604,0.9942857142857143,4.0,-0.08845189489732097
20180102,2018,000880,한화,기타화학제품제조업,43250,46.0,1989500.0,43012.0,41707.0,20180307,3241965288750,0.5172304187766854,0.9886363636363636,5.0,-0.0303402093442805
20180102,2018,122990,와이솔,전자부품제조업,14450,138.0,1994100.0,14367.0,15068.0,20180307,331972320350,0.5197586087343085,0.9885714285714285,6.0,0.048816051163691254
20180102,2018,090430,아모레퍼시픽,기타화학제품제조업,312500,6.0,1875000.0,311782.0,282765.0,20180307,18268278125000,0.5170427712346666,0.9829545454545454,7.0,-0.0930688048931827
20180102,2018,168330,내츄럴엔도텍,자연과학및공학연구개발업,23750,84.0,1995000.0,46564.0,39772.0,20180307,480487200000,0.5101216535556554,0.9828571428571429,8.0,-0.145853076948103
20180102,2018,009150,삼성전기,전자부품제조업,101000,19.0,1919000.0,99955.0,91553.0,20180307,7544063296000,0.5211060450087719,0.9772727272727273,9.0,-0.08405113351927485
20180102,2018,056190,에스에프에이,특수목적용기계제조업,37900,52.0,1970800.0,37960.0,35954.0,20180307,1360942004000,0.5104223233705283,0.9771428571428571,10.0,-0.05284789615078067
20180102,2018,034220,LG디스플레이,전자부품제조업,29850,67.0,1999950.0,28449.0,25530.0,20180307,10680798645000,0.5206344915847937,0.9715909090909091,11.0,-0.10262202668976994
20180102,2018,214370,케어젠,기초의약물질및생물학적제제제조업,88300,22.0,1942600.0,13764.0,13734.0,20180307,948606900000,0.5144086882868184,0.9714285714285714,12.0,-0.0021454608522941676
20180102,2018,034730,SK,기타금융업,283000,7.0,1981000.0,280476.0,294036.0,20180307,19911964051000,0.5211057339939192,0.9659090909090909,13.0,0.04834861570640103
