date,year,portfolio_return,portfolio_return_gross,benchmark_return,alpha,transaction_cost,turnover,cash_drag_pct,sl_triggered_rate,ic_spearman,q1_ret,q2_ret,q3_ret,q4_ret,q5_ret,q_monotonic,top_decile_return,bottom_decile_return,long_short_return,portfolio_return_tuned,turnover_tuned,transaction_cost_tuned,top_sector,top_sector_weight,sector_hhi,top_picks,train_period,test_year
20180102,2018,-0.0071673935116545184,-0.003680274472307695,-0.03097623613685073,0.02380884262519621,0.0034999999999999996,1.0,0.06712479999999998,0.0,-0.0049382163763179625,-0.002533780496620906,-0.029115032888086638,-0.0021911233928384147,0.009460801279483805,-0.007577679346488568,0,-0.001994874369414986,-0.020348542100317817,0.018353667730902832,-0.004776855546813619,1.0,0.0034999999999999996,기타금융업,0.08,0.044799999999999986,051900(LG생활건강):-9.1% | 078340(컴투스):+21.8% | 001060(JW중외제약):-9.5% | 048260(오스템임플란트):-8.8% | 241560(두산밥캣):-12.8% | 005930(삼성전자):-5.8% | 214370(케어젠):-0.2% | 042670(HD현대인프라코어):-3.7% | 091700(파트론):-4.6% | 051910(LG화학):-6.0%,2015-2017,2018
20180306,2018,-0.009413876593347137,-0.005834882169156008,0.01995723134526627,-0.029371107938613406,0.0036000000000000008,0.4,0.06108000000000002,0.0,-0.1000946859436477,0.04959806037904834,0.015076021548874469,0.07876545362363693,-0.013430240467815036,-0.00951036164966422,0,-0.019382560140704115,0.082157087799047,-0.10153964793975112,0.016112210725123255,0.07999999999999996,0.0007199999999999997,의약품제조업,0.1,0.05039999999999999,009150(삼성전기):+26.6% | 098460(고영):+0.9% | 003550(LG):-10.9% | 089030(테크윙):-4.1% | 009830(한화솔루션):-11.2% | 048260(오스템임플란트):-3.2% | 005440(현대지에프홀딩스):+8.5% | 078340(컴투스):-0.6% | 034730(SK):+1.9% | 001040(CJ):+1.3%,2015-2017,2018
20180504,2018,-0.0070185891775340625,-0.0032508774944631238,-0.08378191490046676,0.0767633257229327,0.003780000000000001,0.42000000000000004,0.03637170000000001,0.0,0.06442775229043549,-0.08487973154842415,-0.018957070272986522,-0.012978336639576605,-0.06411039806325643,-0.021609350570140174,0,0.0030630419698636346,-0.12675631951311303,0.12981936148297665,-0.006066609322324279,0.24,0.00216,의약품제조업,0.12,0.0568,078340(컴투스):+11.7% | 002380(KCC):-17.6% | 003550(LG):-16.0% | 098460(고영):+9.2% | 251270(넷마블):+21.2% | 031980(피에스케이홀딩스):+9.4% | 009290(광동제약):-14.1% | 006280(녹십자):-50.5% | 140410(메지온):+14.7% | 000100(유한양행):-1.4%,2015-2017,2018
20180709,2018,0.02770500618228966,0.03216395446558085,-0.02068455287991544,0.0483895590622051,0.00432,0.48,0.030270099999999966,0.0,0.09497973921090964,0.0070695226030476266,-0.06175032369879404,-0.017105491010290824,0.05172360365189874,0.032239330045451986,0,0.052390201145307784,0.003035446899162661,0.049354754246145126,0.0036559960207815934,0.19999999999999996,0.0017999999999999997,전자부품제조업,0.14,0.0576,034730(SK):+1.5% | 140410(메지온):+94.7% | 002380(KCC):+7.6% | 214370(케어젠):+11.0% | 023530(롯데쇼핑):-16.1% | 170900(동아에스티):+13.0% | 098460(고영):-0.7% | 093370(후성):+1.4% | 056190(에스에프에이):+13.8% | 181710(NHN):-12.1%,2015-2017,2018
20180906,2018,-0.10472272657294524,-0.10213688078961936,-0.0859387709003889,-0.018783955672556335,0.0028799999999999997,0.31999999999999995,0.04026759999999996,0.0,0.08560986498679408,-0.13569856475964756,-0.12780803299368654,-0.1133166236355826,-0.09826657832673501,-0.11435094011931339,0,-0.12294033528654472,-0.13447642243485894,0.011536087148314222,-0.09433311839042025,0.26,0.0023400000000000005,전자부품제조업,0.1,0.05039999999999999,272290(이녹스첨단소재):-29.7% | 181710(NHN):-11.1% | 007570(일양약품):-11.9% | 214370(케어젠):-9.9% | 003550(LG):-4.7% | 001040(CJ):-9.7% | 036490(SK머티리얼즈):-7.7% | 090430(아모레퍼시픽):-41.9% | 002380(KCC):-22.2% | 056190(에스에프에이):+7.3%,2015-2017,2018
20181112,2018,0.05638781233106682,0.05867454935767945,0.029687881900637113,0.02669993043042971,0.00216,0.24,0.030792249999999965,0.0,-0.019633277197346238,0.039471295318017005,0.054712136153300193,0.11360362230318698,0.04662143648833634,0.05767082862048697,0,0.05082984305670849,0.0703433185780878,-0.01951347552137931,0.03690467626199512,0.18000000000000005,0.0016200000000000006,전자부품제조업,0.1,0.045599999999999995,272290(이녹스첨단소재):+14.8% | 181710(NHN):+13.1% | 170900(동아에스티):+9.4% | 007570(일양약품):-16.8% | 056190(에스에프에이):-8.8% | 007310(오뚜기):+18.7% | 003550(LG):+7.5% | 036490(SK머티리얼즈):-6.5% | 051910(LG화학):+6.1% | 012330(현대모비스):+8.3%,2015-2017,2018
20190102,2019,0.10405901458939582,0.10864882070712353,0.09011458097845124,0.013944433610944579,0.0041400000000000005,0.45999999999999996,0.0286729,0.0,0.10468827195880503,0.11334223841581774,0.07725220718751219,0.08503656007935712,0.07790651416294271,0.11588829319501151,0,0.14516254717420615,0.08121074151690671,0.06395180565729944,0.10800778303116321,0.33999999999999997,0.0030600000000000002,기초화학물질제조업,0.1,0.0496,196170(알테오젠):+25.8% | 003850(보령):+10.2% | 004000(롯데정밀화학):+20.2% | 042670(HD현대인프라코어):+4.1% | 091700(파트론):+30.4% | 204320(HL만도):+6.3% | 007310(오뚜기):+4.9% | 078160(메디포스트):+20.5% | 011780(금호석유화학):+10.8% | 011070(LG이노텍):+31.0%,2016-2018,2019
20190307,2019,0.01675062429282881,0.01931930895138635,-0.023942351507259815,0.04069297580008863,0.0025200000000000005,0.28,0.028548499999999977,0.0,0.06509648364393611,-0.03341892838395299,-0.02178623567359787,-0.0007444953931264802,-0.04649477487569153,0.030182508619409697,0,0.002507286199878939,-0.012119639664737548,0.014626925864616487,-0.006337476892591898,0.21999999999999997,0.00198,기초화학물질제조업,0.1,0.05199999999999999,180640(한진칼):+40.4% | 215600(신라젠):-22.6% | 042670(HD현대인프라코어):-10.6% | 091700(파트론):+34.3% | 069260(TKG휴켐스):+0.2% | 023530(롯데쇼핑):-10.1% | 035900(JYP Ent.):-9.6% | 003850(보령):+26.0% | 003000(부광약품):-24.3% | 068760(셀트리온제약):-8.3%,2016-2018,2019
20190508,2019,-0.02081934518527584,-0.01603728639716604,-0.023406916491216834,0.002587571305940995,0.004860000000000001,0.54,0.016264949999999945,0.0,0.0414966742336455,-0.03644628346948423,-0.06494271917764848,-0.045685429324968725,-0.0332412081346018,-0.037224719181789094,0,-0.0006109741470304042,-0.08982997931612087,0.08921900516909047,-0.020286323896270164,0.4,0.0036000000000000008,기타화학제품제조업,0.12,0.053599999999999995,061970(LB세미콘):+43.6% | 234080(JW생명과학):-5.0% | 006280(녹십자):-13.6% | 200230(텔콘RF제약):-14.6% | 004370(농심):-12.2% | 042670(HD현대인프라코어):-15.7% | 015750(성우하이텍):+42.7% | 023530(롯데쇼핑):-11.2% | 034730(SK):-9.6% | 243070(휴온스):-11.2%,2016-2018,2019
20190708,2019,-0.05875833314367762,-0.05347673331557853,-0.004091136511612913,-0.05466719663206471,0.005580000000000001,0.62,0.019097099999999978,0.0,-0.15491176000990525,0.019756698281649502,0.02949502059920509,-0.013946430280549397,-0.06627693066113771,-0.042230714972409496,0,-0.038523305388789876,0.04946741803616303,-0.0879907234249529,-0.07028183251005138,0.45999999999999996,0.0041400000000000005,기초화학물질제조업,0.12,0.0528,234080(JW생명과학):-1.5% | 078160(메디포스트):-3.4% | 008930(한미사이언스):-16.6% | 036490(SK머티리얼즈):+21.7% | 018250(애경산업):-11.8% | 023530(롯데쇼핑):-9.6% | 112040(위메이드):-5.3% | 204320(HL만도):+21.7% | 215600(신라젠):-71.9% | 042670(HD현대인프라코어):+7.1%,2016-2018,2019
