date,test_year,stock_code,name,sector,closing_price,shares,invested_krw,buy_price,sell_price,sell_date,market_cap,score,score_rank,rank_pos,forward_return_42d_lag1_close
20180102,2018,001450,현대해상,UNMAPPED_SECTOR,46950,42.0,1971900.0,45717.0,37537.0,20180307,4197330000000,0.5053839380747642,1.4327007988224516,1.0,-0.17893595278706131
20180102,2018,005940,NH투자증권,UNMAPPED_SECTOR,14000,142.0,1988000.0,13946.0,13995.0,20180307,3939724418000,0.5053839380747642,1.4327007988224516,2.0,0.003547895502957976
20180102,2018,071050,한국금융지주,UNMAPPED_SECTOR,69000,28.0,1932000.0,68688.0,78094.0,20180307,3845093448000,0.5053839380747642,1.4327007988224516,3.0,0.13693329238793295
20180102,2018,079440,오렌지라이프,UNMAPPED_SECTOR,52100,38.0,1979800.0,52668.0,49673.0,20180307,4272200000000,0.5053839380747642,1.4327007988224516,4.0,-0.05687604277048097
20180102,2018,086790,하나금융지주,UNMAPPED_SECTOR,50900,39.0,1985100.0,51439.0,46133.0,20180307,15066555855800,0.5053839380747642,1.4327007988224516,5.0,-0.10314087168874198
20180102,2018,105560,KB금융,UNMAPPED_SECTOR,63100,31.0,1956100.0,63101.0,61493.0,20180307,26382837984700,0.5053839380747642,1.4327007988224516,6.0,-0.025487658007511405
20180102,2018,005490,POSCO홀딩스,1차철강제조업,339000,5.0,1695000.0,357850.0,347840.0,20180307,29556337065000,0.5053839380747642,1.1547005383792515,7.0,-0.027971522015056705
20180102,2018,047040,대우건설,건물건설업,5890,339.0,1996710.0,5959.0,5337.0,20180307,2448017337820,0.5056966845805326,1.154700538379183,8.0,-0.10436564906860124
20180102,2018,039030,이오테크닉스,특수목적용기계제조업,105500,18.0,1899000.0,103072.0,82775.0,20180313,1295606043000,0.5053839380747642,1.100812358340513,9.0,-0.1969192422656355
20180102,2018,004170,신세계,종합소매업,290000,6.0,1740000.0,287328.0,330732.0,20180307,2855102490000,0.5053839380747642,1.0951668406893902,10.0,0.1510609860554839
20180102,2018,139480,이마트,종합소매업,262000,7.0,1834000.0,260666.0,293699.0,20180307,7303464578000,0.5053839380747642,1.0951668406893902,11.0,0.1267255544370347
20180102,2018,011790,SKC,기타화학제품제조업,46500,43.0,1999500.0,49004.0,38553.0,20180307,1745356807500,0.5053839380747642,0.9164438319431962,12.0,-0.2132785144231405
20180102,2018,051900,LG생활건강,기타화학제품제조업,1200000,1.0,1200000.0,1188465.0,1080484.0,20180307,18741836400000,0.5053839380747642,0.9164438319431962,13.0,-0.09085697104700885
20180102,2018,006280,녹십자,의약품제조업,227000,8.0,1816000.0,226085.0,209615.0,20180307,2652844126000,0.5053839380747642,0.912870929174866,14.0,-0.07284866530477618
20180102,2018,069620,대웅제약,의약품제조업,170500,11.0,1875500.0,169103.0,176621.0,20180307,1975511037500,0.5053839380747642,0.912870929174866,15.0,0.04445764917940109
20180102,2018,185750,종근당,의약품제조업,140500,14.0,1967000.0,91452.0,89990.0,20180420,1321971525000,0.5053839380747642,0.912870929174866,16.0,-0.015978102373317205
20180102,2018,002790,아모레퍼시픽홀딩스,기타금융업,146000,13.0,1898000.0,142440.0,127982.0,20180307,12038894280000,0.5053839380747642,0.8739288119127876,17.0,-0.10150309529034385
20180102,2018,003550,LG,기타금융업,90800,22.0,1997600.0,85216.0,81237.0,20180307,15668187494800,0.5053839380747642,0.8739288119127876,18.0,-0.04669465818592233
20180102,2018,034730,SK,기타금융업,283000,7.0,1981000.0,280469.0,294030.0,20180307,19911964051000,0.5053839380747642,0.8739288119127876,19.0,0.04834861568937243
20180102,2018,096770,SK이노베이션,기타금융업,206500,9.0,1858500.0,199088.0,200001.0,20180307,19094138966000,0.5053839380747642,0.8739288119127876,20.0,0.004589215272458036
20180102,2018,068270,셀트리온,기초의약물질및생물학적제제제조업,225900,8.0,1807200.0,198148.0,,,27710345181600,0.5053839380747642,0.866025403785163,21.0,0.201544158917347
20180102,2018,207940,삼성바이오로직스,기초의약물질및생물학적제제제조업,389500,5.0,1947500.0,568272.0,651018.0,20180307,25771267500000,0.5053839380747642,0.866025403785163,22.0,0.14561012322398414
20180102,2018,006650,대한유화,기초화학물질제조업,269000,7.0,1883000.0,266534.0,294063.0,20180307,1748500000000,0.5053839380747642,0.8017837257373657,23.0,0.10328815638378641
20180102,2018,010060,OCI홀딩스,기초화학물질제조업,136000,14.0,1904000.0,115060.0,122626.0,20180307,3243514456000,0.5053839380747642,0.8017837257373657,24.0,0.06576126606972754
20180102,2018,011780,금호석유화학,기초화학물질제조업,103500,19.0,1966500.0,102984.0,88793.0,20180307,3153406018500,0.5053839380747642,0.8017837257373657,25.0,-0.13779860085055406
20180102,2018,051910,LG화학,기초화학물질제조업,411000,4.0,1644000.0,410065.0,385440.0,20180307,29013452973000,0.5053839380747642,0.8017837257373657,26.0,-0.06005154577115701
20180102,2018,010130,고려아연,1차비철금속제조업,499500,4.0,1998000.0,486671.0,506142.0,20180307,9425565000000,0.5053839380747642,0.7071067811873079,27.0,0.04000986868259737
20180102,2018,017670,SK텔레콤,전기통신업,265500,7.0,1858500.0,45169.0,40015.0,20180307,21437986270500,0.5053839380747642,0.7071067811873079,28.0,-0.1141110504189633
20180102,2018,018880,한온시스템,일반목적용기계제조업,13500,148.0,1998000.0,12736.0,10779.0,20180307,7206300000000,0.5053839380747642,0.7071067811873079,29.0,-0.15364910092682582
20180102,2018,084990,헬릭스미스,자연과학및공학연구개발업,166300,12.0,1995600.0,88327.0,120334.0,20180307,2653526038000,0.5053839380747642,0.7071067811873079,30.0,0.36236785021432105
20180102,2018,066570,LG전자,통신및방송장비제조업,109500,18.0,1971000.0,109299.0,106828.0,20180307,17919435633000,0.5053839380747642,0.707106781186801,31.0,-0.022607744225699555
20180102,2018,120110,코오롱인더,화학섬유제조업,87000,22.0,1914000.0,88382.0,67049.0,20180307,2218488342000,0.5053839380747642,0.707106781186801,32.0,-0.24137568388580466
20180102,2018,011200,HMM,해상운송업,5010,399.0,1998990.0,4791.0,4272.0,20180323,1562147193270,0.5056966845805326,0.7071067811867993,33.0,-0.10841982783539916
20180102,2018,097950,CJ제일제당,기타식품제조업,371500,5.0,1857500.0,371208.0,322642.0,20180307,4895161882000,0.505229073374475,0.5773502691828526,34.0,-0.13083265768644903
20180102,2018,271560,오리온,기타식품제조업,107000,18.0,1926000.0,104090.0,106599.0,20180307,4230084607000,0.505229073374475,0.5773502691828526,35.0,0.024100608946336255
20180102,2018,009150,삼성전기,전자부품제조업,101000,19.0,1919000.0,99965.0,91563.0,20180307,7544063296000,0.505229073374475,0.5000000000004131,36.0,-0.0840511330701087
20180102,2018,020150,롯데에너지머티리얼즈,전자부품제조업,38650,51.0,1971150.0,37741.0,34054.0,20180307,1777900000000,0.505229073374475,0.5000000000004131,37.0,-0.09768682540376383
20180102,2018,034220,LG디스플레이,전자부품제조업,29850,67.0,1999950.0,28450.0,25531.0,20180307,10680798645000,0.505229073374475,0.5000000000004131,38.0,-0.10262203023011085
20180102,2018,042670,HD현대인프라코어,특수목적용기계제조업,9080,220.0,1997600.0,7722.0,7433.0,20180307,1888617872040,0.505229073374475,0.1798852891621731,39.0,-0.037376352641876776
20180102,2018,056190,에스에프에이,특수목적용기계제조업,37900,52.0,1970800.0,37963.0,35956.0,20180307,1360942004000,0.505229073374475,0.1798852891621731,40.0,-0.052847897225350104
20180102,2018,240810,원익IPS,특수목적용기계제조업,32550,61.0,1985550.0,33381.0,35525.0,20180307,1343450341800,0.505229073374475,0.1798852891621731,41.0,0.06423738095972897
20180102,2018,034230,파라다이스,유원지및기타오락관련서비스업,22650,88.0,1993200.0,22399.0,19444.0,20180307,2059851520800,0.505229073374475,0.0,62.0,-0.1319119728818242
20180102,2018,035760,CJ ENM,텔레비전방송업,224800,8.0,1798400.0,221897.0,212311.0,20180307,1397248446400,0.5053839380747642,0.0,63.0,-0.04319940228695507
20180102,2018,036460,한국가스공사,연료용가스제조및배관공급업,44350,45.0,1995750.0,43907.0,48194.0,20180307,4094081550000,0.505229073374475,0.0,64.0,0.09765164183197705
20180102,2018,046890,서울반도체,반도체제조업,27350,73.0,1996550.0,27361.0,22754.0,20180307,1594652690000,0.505229073374475,0.0,65.0,-0.16835324703014343
20180102,2018,047050,포스코인터내셔널,상품중개업,18750,106.0,1987500.0,19498.0,19295.0,20180307,2313284043750,0.505229073374475,0.0,66.0,-0.010419814284332696
20180102,2018,047810,한국항공우주,"항공기,우주선및부품제조업",48400,41.0,1984400.0,48992.0,47924.0,20180307,4717795178800,0.505229073374475,0.0,67.0,-0.021809932065026127
20180102,2018,130960,CJ E&M,텔레비전방송업,96100,20.0,1922000.0,93867.0,87259.0,20180307,3722153752900,0.5053839380747642,0.0,73.0,-0.07039927094897402
20180102,2018,263750,펄어비스,소프트웨어개발및공급업,249000,8.0,1992000.0,48308.0,46791.0,20180307,3004508700000,0.5053839380747642,0.0,77.0,-0.03140886022620515
20180102,2018,267260,HD현대일렉트릭,"전동기,발전기및전기변환ㆍ공급ㆍ제어장치제조업",115500,17.0,1963500.0,50578.0,306889.0,20240826,1178767936500,0.5052243415508451,0.0,78.0,5.067594170028428
20180306,2018,011070,LG이노텍,전자부품제조업,132500,15.0,1987500.0,127161.0,130681.0,20180508,3135891677500,0.5056966845805326,1.4999999999999802,1.0,0.02767899543787089
20180306,2018,000810,삼성화재,UNMAPPED_SECTOR,278000,7.0,1946000.0,276394.0,271352.0,20180508,13170204686000,0.5053839380747642,1.4116949982262803,2.0,-0.018244912342652353
